"","species","n.occurrences"
"186","Campomanesia guaviroba (DC.) Kiaersk.",21
"187","Campomanesia guazumifolia (Cambess.) O.Berg",20
"188","Campomanesia laurifolia Gardner",9
"189","Campomanesia phaea (O.Berg) Landrum",5
"190","Campomanesia sessiliflora (O.Berg) Mattos",2
"191","Campomanesia velutina (Cambess.) O.Berg",2
"192","Campomanesia xanthocarpa (Mart.) O.Berg",26
"193","Cariniana estrellensis (Raddi) Kuntze",30
"194","Cariniana legalis (Mart.) Kuntze",19
"195","Carpotroche brasiliensis (Raddi) A Gray",38
"196","Caryocar edule Casar.",6
"197","Casearia aculeata Jacq.",3
"198","Casearia arborea (Rich.) Urb.",36
"199","Casearia commersoniana Cambess.",14
"200","Casearia decandra Jacq.",39
"201","Casearia gossypiosperma Briq.",3
"202","Casearia grandiflora Cambess.",3
"203","Casearia guianensis (Aubl.) Urb.",11
"204","Casearia lasiophylla Eichler",13
"205","Casearia mariquitensis Kunth",12
"206","Casearia melliodora Eichler",2
"207","Casearia obliqua Spreng.",12
"208","Casearia oblongifolia Cambess.",3
"209","Casearia paranaensis Sleumer",1
"210","Casearia pauciflora Cambess.",2
"211","Casearia rupestris Eichler",1
"212","Casearia selloana Eichler",1
"213","Casearia sylvestris Sw.",42
"214","Casearia ulmifolia Vahl ex Vent.",28
"215","Cassia ferruginea (Schrad.) Schrad. ex DC.",29
"216","Cathedra rubricaulis Miers",2
"217","Cavanillesia umbellata Ruiz & Pav.",4
"218","Cecropia glaziovii Snethl.",37
"219","Cecropia hololeuca Miq.",41
"220","Cecropia pachystachya Trécul",31
"221","Cedrela fissilis Vell.",28
"222","Cedrela odorata L.",11
"223","Ceiba erianthos (Cav.) K.Schum.",8
"224","Ceiba pubiflora (A.St.-Hil.) K.Schum.",1
"225","Ceiba speciosa (A.St.-Hil.) Ravenna",9
"226","Ceiba ventricosa (Nees & Mart.) Ravenna",10
"227","Celtis iguanaea (Jacq.) Sarg.",17
"228","Celtis pubescens (Kunth) Spreng.",13
"229","Centrolobium microchaete (Mart. ex Benth.) H.C.Lima",14
"230","Centrolobium robustum (Vell.) Mart. ex Benth.",1
"231","Centrolobium sclerophyllum H.C.Lima",1
"232","Centrolobium tomentosum Guillem. ex Benth.",10
"233","Cestrum axillare Vell.",4
"234","Cestrum bracteatum Link & Otto",13
"235","Cestrum mariquitense Kunth",1
"236","Cestrum retrofractum Dunal",2
"237","Cestrum schlechtendalii G.Don",11
"238","Cestrum strigilatum Ruiz & Pav.",2
"239","Chaetocarpus myrsinites Baill.",7
"240","Chamaecrista aspidiifolia H.S.Irwin & Barneby",1
"241","Chamaecrista aspleniifolia (H.S.Irwin & Barneby) H.S.Irwin & Barneby",10
"242","Chamaecrista ensiformis (Vell.) H.S.Irwin & Barneby",8
"243","Cheiloclinium cognatum (Miers) A.C.Sm.",12
"244","Chionanthus crassifolius (Mart.) P.S.Green",5
"245","Chionanthus ferrugineus (Gilg) P.S.Green",9
"246","Chionanthus filiformis (Vell.) P.S.Green",2
"247","Chloroleucon dumosum (Benth.) G.P.Lewis",2
"248","Chomelia brasiliana A.Rich.",2
"249","Chomelia obtusa Cham. & Schltdl.",1
"250","Chomelia pohliana Müll.Arg.",1
"251","Chomelia pubescens Cham. & Schltdl.",5
"252","Chrysochlamys saldanhae (Engl.) Oliveira-Filho",4
"253","Chrysophyllum flexuosum Mart.",9
"254","Chrysophyllum gonocarpum (Mart. & Eichler ex Miq.) Engl.",24
"255","Chrysophyllum lucentifolium Cronquist",10
"256","Chrysophyllum marginatum (Hook. & Arn.) Radlk.",22
"257","Chrysophyllum rufum Mart.",2
"258","Chrysophyllum splendens Spreng.",8
"259","Chrysophyllum viride Mart. & Eichler",4
"260","Cinnamodendron dinisii Schwacke",5
"261","Cinnamomum erythropus (Nees & Mart.) Kosterm.",4
"262","Cinnamomum pseudoglaziovii Lorea-Hern.",3
"263","Cinnamomum stenophyllum (Meisn.) Vattimo-Gil",2
"264","Cinnamomum tomentulosum Kosterm.",4
"265","Cinnamomum triplinerve (Ruiz & Pav.) Kosterm.",11
"266","Citharexylum myrianthum Cham.",6
"267","Citronella gongonha (Mart.) R.A.Howard",3
"268","Citronella paniculata (Mart.) R.A.Howard",14
"269","Clarisia ilicifolia (Spreng.) Lanj. & Rossberg",18
"270","Clarisia racemosa Ruiz & Pav.",3
"271","Clavija caloneura Mart.",1
"272","Clavija spinosa (Vell.) Mez",2
"273","Clethra scabra Pers.",13
"274","Clusia criuva Cambess.",7
"275","Clusia fragrans Gardner",3
"276","Clusia lanceolata Cambess.",1
"277","Clusia melchiorii Gleason",1
